metric,rank,policy,value,direction,tie_break_trace
illegal_action_rejection_count,4,LOCAL_ONLY,18.0,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
illegal_action_rejection_count,5,RANDOM_POLICY,18.0,lower_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
queue_stability_score,1,CLOUD_ONLY,0.24807256235827663,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
queue_stability_score,2,ORIGINAL_HOODIE_BASELINE,0.24807256235827663,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
queue_stability_score,3,HOODIE_PROPOSED,0.24807256235827663,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
queue_stability_score,4,LOCAL_ONLY,0.24807256235827663,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
queue_stability_score,5,RANDOM_POLICY,0.24807256235827663,higher_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
throughput,1,CLOUD_ONLY,0.42896825396825394,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
throughput,2,ORIGINAL_HOODIE_BASELINE,0.42896825396825394,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
throughput,3,HOODIE_PROPOSED,0.41865079365079366,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
throughput,4,LOCAL_ONLY,0.41865079365079366,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
throughput,5,RANDOM_POLICY,0.3855820105820106,higher_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
timeout_drop_rate,1,CLOUD_ONLY,0.10714285714285714,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
timeout_drop_rate,2,ORIGINAL_HOODIE_BASELINE,0.10714285714285714,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
timeout_drop_rate,3,HOODIE_PROPOSED,0.13095238095238096,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
timeout_drop_rate,4,LOCAL_ONLY,0.13095238095238096,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
timeout_drop_rate,5,RANDOM_POLICY,0.20238095238095238,lower_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
total_reward,1,CLOUD_ONLY,-4244.0,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
total_reward,2,ORIGINAL_HOODIE_BASELINE,-4244.0,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
total_reward,3,HOODIE_PROPOSED,-4788.0,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
total_reward,4,LOCAL_ONLY,-4788.0,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
total_reward,5,RANDOM_POLICY,-6260.0,higher_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
unavailable_drop_rate,1,CLOUD_ONLY,0.0,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
unavailable_drop_rate,2,ORIGINAL_HOODIE_BASELINE,0.0,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
unavailable_drop_rate,3,HOODIE_PROPOSED,0.0,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
unavailable_drop_rate,4,LOCAL_ONLY,0.0,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
unavailable_drop_rate,5,RANDOM_POLICY,0.0,lower_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
