policy,scenario,workload,deadline_pressure,seed,completed_count,dropped_timeout_count,dropped_unavailable_count,deadline_violation_count,illegal_action_rejection_count,task_completion_delay,task_drop_ratio,average_delay,drop_ratio,completion_rate,timeout_drop_rate,unavailable_drop_rate,deadline_violation_rate,average_reward,total_reward,throughput,queue_stability_score,compatibility_mode_used
BCO,all,all,all,,1365,84,63,198,63,5.2967032967032965,0.09722222222222222,5.2967032967032965,0.09722222222222222,0.9027777777777778,0.05555555555555555,0.041666666666666664,0.13095238095238096,-8.670634920634921,-13110.0,0.9027777777777778,0.17937041032955262,False
FLC,all,all,all,,1431,81,0,186,0,5.186582809224318,0.05357142857142857,5.186582809224318,0.05357142857142857,0.9464285714285714,0.05357142857142857,0.0,0.12301587301587301,-7.051587301587301,-10662.0,0.9464285714285714,0.17937041032955262,False
HO,all,all,all,,1194,102,216,258,216,5.834170854271357,0.21031746031746032,5.834170854271357,0.21031746031746032,0.7896825396825397,0.06746031746031746,0.14285714285714285,0.17063492063492064,-13.01984126984127,-19686.0,0.7896825396825397,0.17937041032955262,False
HOODIE,all,all,all,,1443,69,0,126,0,4.902286902286902,0.04563492063492063,4.902286902286902,0.04563492063492063,0.9543650793650794,0.04563492063492063,0.0,0.08333333333333333,-6.503968253968254,-9834.0,0.9543650793650794,0.17937041032955262,False
MLEO,all,all,all,,1443,69,0,126,0,4.902286902286902,0.04563492063492063,4.902286902286902,0.04563492063492063,0.9543650793650794,0.04563492063492063,0.0,0.08333333333333333,-6.503968253968254,-9834.0,0.9543650793650794,0.17937041032955262,False
RO,all,all,all,,1359,84,69,201,69,5.325239146431199,0.10119047619047619,5.325239146431199,0.10119047619047619,0.8988095238095238,0.05555555555555555,0.04563492063492063,0.13293650793650794,-8.833994708994709,-13357.0,0.8988095238095238,0.17937041032955262,False
VO,all,all,all,,1437,75,0,156,0,5.04384133611691,0.0496031746031746,5.04384133611691,0.0496031746031746,0.9503968253968254,0.0496031746031746,0.0,0.10317460317460317,-6.777777777777778,-10248.0,0.9503968253968254,0.17937041032955262,False
