episode_id,time,node_id,queue_type,queue_length,arrivals,departures,drops,cpu_allocated
0,2,2,public:12,0.0,0,0,0,0.5
0,2,2,public:17,0.0,0,0,0,0.5
0,2,3,private,0.0,0,0,0,0.5
0,2,3,offloading,2.81563459104205,0,0,0,0.5
0,2,3,public:8,0.0,0,0,0,0.5
0,2,3,public:13,0.0,0,0,0,0.5
0,2,3,public:18,0.0,0,0,0,0.5
0,2,4,private,0.0,0,0,0,0.5
0,2,4,offloading,2.2720771117207317,1,0,0,0.5
0,2,4,public:9,0.0,0,0,0,0.5
0,2,4,public:14,0.0,0,0,0,0.5
0,2,4,public:19,0.0,0,0,0,0.5
0,2,5,private,0.0,0,0,0,0.5
0,2,5,offloading,1.269305935336405,0,0,0,0.5
0,2,5,public:0,0.0,0,0,0,0.5
0,2,5,public:10,0.0,0,0,0,0.5
0,2,5,public:15,0.0,0,0,0,0.5
0,2,6,private,0.0,0,0,0,0.5
0,2,6,offloading,0.0,0,0,0,0.5
0,2,6,public:1,0.0,0,0,0,0.5
0,2,6,public:11,0.0,0,0,0,0.5
0,2,6,public:16,0.0,0,0,0,0.5
0,2,7,private,0.0,0,0,0,0.5
0,2,7,offloading,2.3259200768421486,1,0,0,0.5
0,2,7,public:2,0.0,0,0,0,0.5
0,2,7,public:12,0.0,0,0,0,0.5
0,2,7,public:17,0.0,0,0,0,0.5
0,2,8,private,0.0,0,0,0,0.5
0,2,8,offloading,3.765967166409009,1,0,0,0.5
0,2,8,public:3,0.0,0,0,0,0.5
0,2,8,public:13,0.0,0,0,0,0.5
0,2,8,public:18,0.0,0,0,0,0.5
0,2,9,private,0.0,0,0,0,0.5
0,2,9,offloading,1.7036073519977526,0,0,0,0.5
0,2,9,public:4,0.0,0,0,0,0.5
0,2,9,public:14,0.0,0,0,0,0.5
0,2,9,public:19,0.0,0,0,0,0.5
0,2,10,private,0.0,0,0,0,0.5
0,2,10,offloading,5.137933020335403,1,0,0,0.5
0,2,10,public:0,0.0,0,0,0,0.5
0,2,10,public:5,0.0,0,0,0,0.5
0,2,10,public:15,0.0,0,0,0,0.5
0,2,11,private,0.0,0,0,0,0.5
0,2,11,offloading,0.0,0,0,0,0.5
0,2,11,public:1,0.0,0,0,0,0.5
0,2,11,public:6,0.0,0,0,0,0.5
0,2,11,public:16,0.0,0,0,0,0.5
0,2,12,private,0.0,0,0,0,0.5
0,2,12,offloading,3.858051387886804,1,0,0,0.5
0,2,12,public:2,0.0,0,0,0,0.5
0,2,12,public:7,0.0,0,0,0,0.5
0,2,12,public:17,0.0,0,0,0,0.5
0,2,13,private,0.9577469658755449,0,0,0,0.5
0,2,13,offloading,0.0,0,0,0,0.5
0,2,13,public:3,0.0,0,0,0,0.5
0,2,13,public:8,0.0,0,0,0,0.5
0,2,13,public:18,0.0,0,0,0,0.5
0,2,14,private,0.0,0,0,0,0.5
0,2,14,offloading,3.2949883595771503,1,0,0,0.5
0,2,14,public:4,0.0,0,0,0,0.5
0,2,14,public:9,0.0,0,0,0,0.5
0,2,14,public:19,0.0,0,0,0,0.5
0,2,15,private,0.0,0,0,0,0.5
0,2,15,offloading,0.0,0,0,0,0.5
0,2,15,public:0,0.0,0,0,0,0.5
0,2,15,public:5,0.0,0,0,0,0.5
0,2,15,public:10,0.0,0,0,0,0.5
0,2,16,private,0.0,0,0,0,0.5
0,2,16,offloading,0.0,0,1,0,0.5
0,2,16,public:1,0.0,0,0,0,0.5
0,2,16,public:6,0.0,0,0,0,0.5
0,2,16,public:11,0.0,0,0,0,0.5
0,2,17,private,0.0,0,0,0,0.5
0,2,17,offloading,0.0,0,0,0,0.5
0,2,17,public:2,0.0,0,0,0,0.5
0,2,17,public:7,0.0,0,0,0,0.5
0,2,17,public:12,0.0,0,0,0,0.5
0,2,18,private,1.6441686735233996,1,0,0,0.5
0,2,18,offloading,1.5669267248726606,0,0,0,0.5
0,2,18,public:3,0.0,0,0,0,0.5
0,2,18,public:8,0.0,0,0,0,0.5
0,2,18,public:13,0.0,0,0,0,0.5
0,2,19,private,0.0,0,0,0,0.5
0,2,19,offloading,0.0,0,0,0,0.5
0,2,19,public:4,0.0,0,0,0,0.5
0,2,19,public:9,0.0,0,0,0,0.5
0,2,19,public:14,0.0,0,0,0,0.5
