series,x,y_approx
N=10,0.1,-0.951
N=10,0.3,-4.328
N=10,0.5,-11.182
N=10,0.7,-25.107
N=10,0.9,-45.359
N=15,0.1,-1.478
N=15,0.3,-7.28
N=15,0.5,-19.622
N=15,0.7,-37.87
N=15,0.9,-56.224
N=20,0.1,-2.007
N=20,0.3,-9.283
N=20,0.5,-20.148
N=20,0.7,-45.571
N=20,0.9,-61.394
