method,x,y_approx
BCO,3,0.2567
BCO,4,0.2487
BCO,5,0.2531
BCO,6,0.246
BCO,7,0.2425
FLC,3,0.3775
FLC,4,0.2735
FLC,5,0.1714
FLC,6,0.1137
FLC,7,0.0355
HO,3,0.4591
HO,4,0.4636
HO,5,0.4627
HO,6,0.4618
HO,7,0.4601
HOODIE,3,0.095
HOODIE,4,0.0418
HOODIE,5,0.0107
HOODIE,6,0.0036
HOODIE,7,0.0
MLEO,3,0.1625
MLEO,4,0.0933
MLEO,5,0.0462
MLEO,6,0.0249
MLEO,7,0.008
RO,3,0.2727
RO,4,0.2709
RO,5,0.2709
RO,6,0.2691
RO,7,0.27
VO,3,0.4796
VO,4,0.4787
VO,5,0.4805
VO,6,0.4796
VO,7,0.4796
