series,x,y_approx
N=10,4,-54.638
N=10,5,-45.481
N=10,6,-43.915
N=10,7,-39.758
N=10,8,-35.962
N=10,9,-36.156
N=15,4,-60.544
N=15,5,-56.506
N=15,6,-54.157
N=15,7,-53.194
N=15,8,-50.06
N=15,9,-48.132
N=20,4,-65.122
N=20,5,-60.784
N=20,6,-61.988
N=20,7,-59.759
N=20,8,-57.169
N=20,9,-57.108
